primary_id	simple_id	supplier_id	seq_depth	subset	clade	exclude	genus	species	sex	location	sublocation	notes	source	
5308STDY7441272			16.6	2			Gnathochromis	pfefferi		Lake_Tanganyika				
5308STDY7441273			18.8	2			Altolamprologus	compressiceps		Lake_Tanganyika				
5308STDY7441274			16.5	2			Altolamprologus	compressiceps	F	Lake_Tanganyika				
5308STDY7441275			17.7	2			Benthochromis	melanoides	F	Lake_Tanganyika				
5308STDY7441276			20.2	2			Hemibates	stenosoma	F	Lake_Tanganyika				
5308STDY7441277			17.9	2			Cunningtonia	longiventralis	M	Lake_Tanganyika				
5308STDY7441278			18.1	2			Hemibates	stenosoma	M	Lake_Tanganyika				
5308STDY7441279			20.3	2			Hemibates	stenosoma	F	Lake_Tanganyika				
5308STDY7441280			17.9	2			Xenotilapia	leptura	M	Lake_Tanganyika				
5308STDY7441281			17.2	2			Petrochromis	fasciolatus	F	Lake_Tanganyika				
5308STDY7441282			17.6	2			Aulonocranus	dewindti	M	Lake_Tanganyika				
5308STDY7441283			18.0	2			Petrochromis	polyodon	F	Lake_Tanganyika				
5308STDY7441284			19.5	2			Cunningtonia	longiventralis	F	Lake_Tanganyika				
5308STDY7441285			18.6	2			Neolamprologus	brevis	F	Lake_Tanganyika				
5308STDY7441286			14.7	2			Aulonocranus	dewindti	M	Lake_Tanganyika				
5308STDY7441287			17.2	2			Bathybates	leo	M	Lake_Tanganyika				
5308STDY7441288			18.5	2			Hemibates	stenosoma	M	Lake_Tanganyika				
5308STDY7441289			15.8	2			Altolamprologus	compressiceps		Lake_Tanganyika				
5308STDY7441290			18.6	2			Lobochilotes	labiatus	F	Lake_Tanganyika				
5308STDY7441291			18.5	2			Cunningtonia	longiventralis	F	Lake_Tanganyika				
5308STDY7441292			18.5	2			Lobochilotes	labiatus		Lake_Tanganyika				
5308STDY7441293			18.8	2			Benthochromis	melanoides	M	Lake_Tanganyika				
5308STDY7441294			19.0	2			Cunningtonia	longiventralis	F	Lake_Tanganyika				
5308STDY7441295			20.0	2			Benthochromis	melanoides	F	Lake_Tanganyika				
5308STDY7441296			23.9	2			Hemibates	stenosoma	M	Lake_Tanganyika				
5308STDY7441297			20.0	2			Julidochromis	ornatus	M	Lake_Tanganyika				
5308STDY7441298			16.8	2			Pseudosimochromis	curvifrons	F	Lake_Tanganyika				
5308STDY7441299			17.7	2			Gnathochromis	pfefferi	F	Lake_Tanganyika				
5308STDY7441300			18.0	2			Neolamprologus	brevis	M	Lake_Tanganyika				
5308STDY7441301			18.6	2			Gnathochromis	pfefferi	F	Lake_Tanganyika				
5308STDY7441302			17.5	2			Cyphotilapia	frontosa	M	Lake_Tanganyika				
5308STDY7441303			19.2	2			Lobochilotes	labiatus	F	Lake_Tanganyika				
5308STDY7441304			16.8	2			Julidochromis	ornatus	M	Lake_Tanganyika				
5308STDY7441305			16.7	2			Petrochromis	fasciolatus	F	Lake_Tanganyika				
5308STDY7441306			18.4	2			Lepidiolamprologus	profundicola	F	Lake_Tanganyika				
5308STDY7441307			17.4	2			Petrochromis	polyodon	M	Lake_Tanganyika				
5308STDY7441308			18.3	2			Lobochilotes	labiatus	F	Lake_Tanganyika				
5308STDY7441309			20.4	2			Xenotilapia	leptura	F	Lake_Tanganyika				
5308STDY7441310			18.6	2			Bathybates	fasciatus	M	Lake_Tanganyika				
5308STDY7441311			19.3	2			Petrochromis	fasciolatus	M	Lake_Tanganyika				
5308STDY7441312			18.4	2			Pseudosimochromis	pleurospilus	F	Lake_Tanganyika				
5308STDY7441313			15.4	2			Altolamprologus	compressiceps	M	Lake_Tanganyika				
5308STDY7441314			22.9	2			Hemibates	stenosoma	F	Lake_Tanganyika				
5308STDY7441315			17.9	2			Hemibates	stenosoma	F	Lake_Tanganyika				
5308STDY7441316			22.3	2			Hemibates	stenosoma	F	Lake_Tanganyika				
5308STDY7441317			18.5	2			Cyphotilapia	frontosa	F	Lake_Tanganyika				
5308STDY7441318			19.8	2			Aulonocranus	dewindti	F	Lake_Tanganyika				
5308STDY7441319			15.8	2			Lobochilotes	labiatus		Lake_Tanganyika				
5308STDY7441320			18.3	2			Petrochromis	fasciolatus	F	Lake_Tanganyika				
5308STDY7441321			18.3	2			Lepidiolamprologus	profundicola	F	Lake_Tanganyika				
5308STDY7441322			18.0	2			Lamprologus	lemairii	M	Lake_Tanganyika				
5308STDY7441323			18.8	2			Pseudosimochromis	curvifrons	M	Lake_Tanganyika				
5308STDY7441324			18.6	2			Petrochromis	polyodon	F	Lake_Tanganyika				
5308STDY7441325			17.9	2			Petrochromis	polyodon	M	Lake_Tanganyika				
5308STDY7441326			17.5	2			Aulonocranus	dewindti	M	Lake_Tanganyika				
5308STDY7441327			18.4	2			Neolamprologus	brevis	M	Lake_Tanganyika				
5308STDY7441328			20.6	2			Bathybates	fasciatus	F	Lake_Tanganyika				
5308STDY7441329			19.1	2			Julidochromis	ornatus		Lake_Tanganyika				
5308STDY7441330			19.7	2			Bathybates	fasciatus	M	Lake_Tanganyika				
5308STDY7441331			18.5	2			Petrochromis	fasciolatus	F	Lake_Tanganyika				
5308STDY7441332			18.8	2			Petrochromis	polyodon	M	Lake_Tanganyika				
5308STDY7441333			18.0	2			Petrochromis	polyodon	F	Lake_Tanganyika				
