primary_id	species
ILBCDS5879908	Astatotilapia_calliptera
ILBCDS5879929	Astatotilapia_calliptera
ILBCDS5879909	Astatotilapia_calliptera
ILBCDS5879930	Astatotilapia_calliptera
ILBCDS5879944	Astatotilapia_calliptera
ILBCDS5879945	Astatotilapia_calliptera
ILBCDS5879956	Astatotilapia_calliptera
ILBCDS5879946	Astatotilapia_calliptera
ILBCDS5879959	Astatotilapia_calliptera
ILBCDS5879962	Astatotilapia_calliptera
ILBCDS5879963	Astatotilapia_calliptera
ILBCDS5879911	Astatotilapia_calliptera
ILBCDS5879907	Astatotilapia_calliptera
ILBCDS5879964	Astatotilapia_calliptera
ILBCDS5879965	Astatotilapia_calliptera
ILBCDS5879966	Astatotilapia_calliptera
ILBCDS5879967	Astatotilapia_calliptera
ILBCDS5879842	Astatotilapia_calliptera
ILBCDS5879843	Astatotilapia_calliptera
ILBCDS5879951	Astatotilapia_calliptera
ILBCDS5879952	Astatotilapia_calliptera
ILBCDS5421973	Astatotilapia_calliptera
ILBCDS5421974	Astatotilapia_calliptera
ILBCDS5421996	Astatotilapia_calliptera
ILBCDS5421979	Astatotilapia_calliptera
ILBCDS5421997	Astatotilapia_calliptera
ILBCDS5421984	Astatotilapia_calliptera
ILBCDS5879931	Astatotilapia_calliptera
ILBCDS5879932	Astatotilapia_calliptera
ILBCDS5879933	Astatotilapia_calliptera
ILBCDS5879934	Astatotilapia_calliptera
ILBCDS5879935	Astatotilapia_calliptera
ILBCDS5879880	Astatotilapia_calliptera
ILBCDS5879881	Astatotilapia_calliptera
ILBCDS5879882	Astatotilapia_calliptera
ILBCDS5879883	Astatotilapia_calliptera
ILBCDS5879884	Astatotilapia_calliptera
ILBCDS5879885	Astatotilapia_calliptera
ILBCDS5879886	Astatotilapia_calliptera
ILBCDS5879887	Astatotilapia_calliptera
ILBCDS5879888	Astatotilapia_calliptera
ILBCDS5879889	Astatotilapia_calliptera
ILBCDS5879913	Astatotilapia_calliptera
ILBCDS5879914	Astatotilapia_calliptera
ILBCDS5879915	Astatotilapia_calliptera
ILBCDS5879953	Astatotilapia_calliptera
ILBCDS5879954	Astatotilapia_calliptera
ILBCDS5879955	Astatotilapia_calliptera
ILBCDS5879957	Astatotilapia_calliptera
ILBCDS5879958	Astatotilapia_calliptera
ILBCDS5879912	Astatotilapia_calliptera
ILBCDS5879947	Astatotilapia_calliptera
ILBCDS5879948	Astatotilapia_calliptera
ILBCDS5879949	Astatotilapia_calliptera
ILBCDS5879950	Astatotilapia_calliptera
ILBCDS5879960	Astatotilapia_calliptera
ILBCDS5879961	Astatotilapia_calliptera
ILBCDS5879844	Astatotilapia_calliptera
ILBCDS5879845	Astatotilapia_calliptera
ILBCDS5879846	Astatotilapia_calliptera
ILBCDS5879847	Astatotilapia_calliptera
ILBCDS5879870	Astatotilapia_calliptera
ILBCDS5879871	Astatotilapia_calliptera
ILBCDS5879872	Astatotilapia_calliptera
ILBCDS5879873	Astatotilapia_calliptera
ILBCDS5879874	Astatotilapia_calliptera
ILBCDS5879848	Astatotilapia_calliptera
ILBCDS5879849	Astatotilapia_calliptera
ILBCDS5879850	Astatotilapia_calliptera
ILBCDS5879851	Astatotilapia_calliptera
ILBCDS5879852	Astatotilapia_calliptera
ILBCDS5879853	Astatotilapia_calliptera
ILBCDS5879854	Astatotilapia_calliptera
ILBCDS5879855	Astatotilapia_calliptera
ILBCDS5879856	Astatotilapia_calliptera
ILBCDS5879857	Astatotilapia_calliptera
ILBCDS5879858	Astatotilapia_calliptera
ILBCDS5879859	Astatotilapia_calliptera
ILBCDS5879860	Astatotilapia_calliptera
ILBCDS5879861	Astatotilapia_calliptera
ILBCDS5879862	Astatotilapia_calliptera
ILBCDS5879863	Astatotilapia_calliptera
ILBCDS5421975	Astatotilapia_calliptera
ILBCDS5421978	Astatotilapia_calliptera
ILBCDS5421976	Astatotilapia_calliptera
ILBCDS5421977	Astatotilapia_calliptera
ILBCDS5421971	Astatotilapia_calliptera
ILBCDS5421970	Astatotilapia_calliptera
ILBCDS5879875	Astatotilapia_calliptera
ILBCDS5879876	Astatotilapia_calliptera
ILBCDS5879877	Astatotilapia_calliptera
ILBCDS5879878	Astatotilapia_calliptera
ILBCDS5879879	Astatotilapia_calliptera
ILBCDS5879916	Astatotilapia_calliptera
ILBCDS5879917	Astatotilapia_calliptera
ILBCDS5879918	Astatotilapia_calliptera
ILBCDS5879864	Astatotilapia_calliptera
ILBCDS5879865	Astatotilapia_calliptera
ILBCDS5879866	Astatotilapia_calliptera
ILBCDS5879867	Astatotilapia_calliptera
ILBCDS5879868	Astatotilapia_calliptera
ILBCDS5879869	Astatotilapia_calliptera
ILBCDS5879919	Astatotilapia_calliptera
ILBCDS5879920	Astatotilapia_calliptera
ILBCDS5879921	Astatotilapia_calliptera
ILBCDS5879922	Astatotilapia_calliptera
ILBCDS5879923	Astatotilapia_calliptera
ILBCDS5879806	Astatotilapia_calliptera
ILBCDS5879807	Astatotilapia_calliptera
ILBCDS5879808	Astatotilapia_calliptera
ILBCDS5879809	Astatotilapia_calliptera
ILBCDS5879810	Astatotilapia_calliptera
ILBCDS5879924	Astatotilapia_calliptera
ILBCDS5879925	Astatotilapia_calliptera
ILBCDS5879926	Astatotilapia_calliptera
ILBCDS5879927	Astatotilapia_calliptera
ILBCDS5879928	Astatotilapia_calliptera
ILBCDS5879811	Astatotilapia_calliptera
ILBCDS5879812	Astatotilapia_calliptera
ILBCDS5879813	Astatotilapia_calliptera
ILBCDS5879815	Astatotilapia_calliptera
ILBCDS5879816	Astatotilapia_calliptera
ILBCDS5879817	Astatotilapia_calliptera
ILBCDS5879818	Astatotilapia_calliptera
ILBCDS5879819	Astatotilapia_calliptera
ILBCDS5879820	Astatotilapia_calliptera
ILBCDS5879822	Astatotilapia_calliptera
ILBCDS5879825	Astatotilapia_calliptera
ILBCDS5879827	Astatotilapia_calliptera
ILBCDS5879828	Astatotilapia_calliptera
ILBCDS5879829	Astatotilapia_calliptera
ILBCDS5879830	Astatotilapia_calliptera
ILBCDS5879831	Astatotilapia_calliptera
ILBCDS5879832	Astatotilapia_calliptera
ILBCDS5879833	Astatotilapia_calliptera
ILBCDS5879834	Astatotilapia_calliptera
ILBCDS5879835	Astatotilapia_calliptera
ILBCDS5879836	Astatotilapia_calliptera
ILBCDS5879837	Astatotilapia_calliptera
ILBCDS5879839	Astatotilapia_calliptera
ILBCDS5879840	Astatotilapia_calliptera
ILBCDS5879841	Astatotilapia_calliptera
ILBCDS5879968	Astatotilapia_calliptera
ILBCDS5879969	Astatotilapia_calliptera
ILBCDS5879970	Astatotilapia_calliptera
ILBCDS5879971	Astatotilapia_calliptera
ILBCDS5879972	Astatotilapia_calliptera
ILBCDS5879910	Astatotilapia_calliptera
ILBCDS5438970	Astatotilapia_calliptera
ILBCDS5438969	Astatotilapia_calliptera
ILBCDS5438971	Astatotilapia_calliptera
ILBCDS5438968	Astatotilapia_calliptera
ILBCDS5879936	Astatotilapia_calliptera
ILBCDS5879937	Astatotilapia_calliptera
ILBCDS5879938	Astatotilapia_calliptera
ILBCDS5879939	Astatotilapia_calliptera
ILBCDS5879940	Astatotilapia_calliptera
ILBCDS5879941	Astatotilapia_calliptera
ILBCDS5879942	Astatotilapia_calliptera
ILBCDS5879943	Astatotilapia_calliptera
ILBCDS5438963	Astatotilapia_calliptera
ILBCDS5438962	Astatotilapia_calliptera
ILBCDS5438964	Astatotilapia_calliptera
ILBCDS5879902	Astatotilapia_calliptera
cichlid7050762	Astatotilapia_calliptera
cichlid7050763	Astatotilapia_calliptera
cichlid7050764	Astatotilapia_calliptera
cichlid7050765	Astatotilapia_calliptera
cichlid7050766	Astatotilapia_calliptera
cichlid7050767	Astatotilapia_calliptera
cichlid7050768	Astatotilapia_calliptera
cichlid7050769	Astatotilapia_calliptera
cichlid7050770	Astatotilapia_calliptera
cichlid7050771	Astatotilapia_calliptera
cichlid7050772	Astatotilapia_calliptera
cichlid7050773	Astatotilapia_calliptera
cichlid7050774	Astatotilapia_calliptera
cichlid7050775	Astatotilapia_calliptera
cichlid7050776	Astatotilapia_calliptera
cichlid7050777	Astatotilapia_calliptera
cichlid7050778	Astatotilapia_calliptera
cichlid7050779	Astatotilapia_calliptera
cichlid7050780	Astatotilapia_calliptera
cichlid7050781	Astatotilapia_calliptera
cichlid7020305	Astatotilapia_calliptera
cichlid7020306	Astatotilapia_calliptera
cichlid7020307	Astatotilapia_calliptera
cichlid7020308	Astatotilapia_calliptera
cichlid7020309	Astatotilapia_calliptera
cichlid7020340	Astatotilapia_calliptera
cichlid7020341	Astatotilapia_calliptera
cichlid7020342	Astatotilapia_calliptera
cichl187579992	Astatotilapia_calliptera
cichl187579993	Astatotilapia_calliptera
cichl187579994	Astatotilapia_calliptera
cichl187579995	Astatotilapia_calliptera
cichl187579996	Astatotilapia_calliptera
cichl187579997	Astatotilapia_calliptera
cichl187579998	Astatotilapia_calliptera
cichl187579999	Astatotilapia_calliptera
cichl187580000	Astatotilapia_calliptera
cichl187580001	Astatotilapia_calliptera
cichl187580002	Astatotilapia_calliptera
cichl187580003	Astatotilapia_calliptera
cichl187580004	Astatotilapia_calliptera
cichl187580005	Astatotilapia_calliptera
cichl187580006	Astatotilapia_calliptera
cichl187580007	Astatotilapia_calliptera
cichl187580008	Astatotilapia_calliptera
cichl187580009	Astatotilapia_calliptera
cichl187580010	Astatotilapia_calliptera
cichl187580011	Astatotilapia_calliptera
cichl187580012	Astatotilapia_calliptera
cichl187580013	Astatotilapia_calliptera
cichl187580014	Astatotilapia_calliptera
cichl187580015	Astatotilapia_calliptera
cichl187580016	Astatotilapia_calliptera
cichl187580017	Astatotilapia_calliptera
cichl187580018	Astatotilapia_calliptera
cichl187580019	Astatotilapia_calliptera
cichl187580020	Astatotilapia_calliptera
cichl187580021	Astatotilapia_calliptera
cichl187580022	Astatotilapia_calliptera
cichl187580023	Astatotilapia_calliptera
cichl187580024	Astatotilapia_calliptera
cichl187580025	Astatotilapia_calliptera
cichl187580026	Astatotilapia_calliptera
cichl187580027	Astatotilapia_calliptera
cichl187580028	Astatotilapia_calliptera
cichl187580029	Astatotilapia_calliptera
cichl187580030	Astatotilapia_calliptera
cichl187580031	Astatotilapia_calliptera
cichl187580032	Astatotilapia_calliptera
cichl187580033	Astatotilapia_calliptera
cichl187580034	Astatotilapia_calliptera
cichl187580035	Astatotilapia_calliptera
cichl187580036	Astatotilapia_calliptera
cichl187580037	Astatotilapia_calliptera
cichl187580038	Astatotilapia_calliptera
cichl187580039	Astatotilapia_calliptera
cichl187580047	Astatotilapia_calliptera
cichl187580048	Astatotilapia_calliptera
cichl187580040	Astatotilapia_calliptera
