primary_id	genus	species	sex	location	sublocation
ILBCDS5879572	Hemitilapia	oxyrhynchus	M	Southeast_arm	Mangochi
ILBCDS5421990	Lethrinops	lethrinus	M	Southeast_arm	Mangochi
ILBCDS6101008	Dimidiochromis	kiwinge	NA	Metangula	NA
ILBCDS6101006	Taeniochromis	holotaenia	NA	Metangula	NA
ILBCDS6101002	Rhamphochromis	longiceps	NA	Metangula	NA
ILBCDS6101017	Copadichromis	likomae	NA	Metangula	NA
ILBCDS5421986	Alticorpus	macrocleithrum	M	Southeast_arm	NA
ILBCDS6101023	Taeniolethrinops	furcicauda	NA	Metangula	NA
ILBCDS5879578	Diplotaxodon	greenwoodi	NA	NA	NA
ILBCDS6101010	Taeniolethrinops	praeorbitalis	NA	Southeast_arm	Mangochi
ILBCDS6101027	Dimidiochromis	strigatus	NA	Southeast_arm	Mangochi
ILBCDS6101015	Hemitilapia	oxyrhynchus	NA	Southeast_arm	Mangochi
ILBCDS6101004	Tyrannochromis	nigriventer	NA	Minos_reef	NA
ILBCDS6101007	Taeniolethrinops	macrorhynchus	NA	Chiwanga	NA
ILBCDS5421999	Otopharynx	tetrastigma	M	Lake_Ilamba	NA
ILBCDS6101003	Stigmatochromis	macrorhynchos	NA	Cape_Maclear	NA
ILBCDS6101014	Stigmatochromis	modestus	NA	Cape_Maclear	NA
ILBCDS6101012	Mylochromis	ericotaenia	NA	Cape_Maclear	NA
ILBCDS6101031	Otopharynx	lithobates	NA	Cape_Maclear	NA
ILBCDS6101026	Ctenopharynx	nitidus	NA	Cape_Maclear	NA
ILBCDS5879908	Astatotilapia	calliptera	NA	Kitai_Dam	NA
ILBCDS6101030	Dimidiochromis	dimidiatus	NA	Cape_Maclear	NA
ILBCDS5879564	Genyochromis	mento	F	Chiofu	NA
ILBCDS5879569	Labeotropheus	trewavasae	F	Chiofu	NA
ILBCDS6101009	Protomelas	spilopterus	NA	Lower_Shire_river	Liwonde
ILBCDS5879568	Iodotropheus	sprengerae	NA	Chiofu	NA
ILBCDS5879929	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879909	Astatotilapia	calliptera	NA	Rovuma_river	NA
ILBCDS5421972	Otopharynx	"brooksi nkhata"	M	Nkhata_Bay	NA
ILBCDS5879930	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS6101029	Diplotaxodon	"ngulube"	NA	Nkhata_Bay	NA
ILBCDS5879567	Protomelas	spilopterus	M	Southeast_arm	Mangochi
ILBCDS5879944	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879945	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879956	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879560	Alticorpus	peterdaviesi	M	Southeast_arm	NA
ILBCDS5879946	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879959	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879962	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879963	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS6101032	Rhamphochromis	esox	NA	Tukombo	NA
ILBCDS5879911	Astatotilapia	calliptera	NA	Luwawa	NA
ILBCDS6101022	Rhamphochromis	"Kingiri dwarf"	NA	Lake_Kingiri	NA
ILBCDS5421993	Nimbochromis	polystigma	M	Dwangwa	NA
ILBCDS5879563	Fossorochromis	rostratus	F	Salima	NA
ILBCDS5421982	Copadichromis	mloto	M	NA	NA
ILBCDS5879556	Copadichromis	borleyi	M	NA	NA
ILBCDS5421995	Aulonocara	stuartgranti	M	NA	NA
ILBCDS5421994	Aulonocara	stuartgranti	M	NA	NA
ILBCDS5421998	Lethrinops	albus	M	NA	NA
ILBCDS5422000	Lethrinops	auritus	M	NA	NA
ILBCDS5421987	Placidochromis	milomo	M	NA	NA
ILBCDS5421991	Placidochromis	johnstoni	M	NA	NA
ILBCDS5421988	Placidochromis	electra	M	NA	NA
ILBCDS5421992	Nimbochromis	linni	M	NA	NA
ILBCDS5421989	Nimbochromis	livingstonii	M	NA	NA
CopAnsF17350462	Copadichromis	virginalis	NA	NA	NA
CopAnsF17350487	Copadichromis	chrysonotus	NA	NA	NA
CopAnsF17350486	Copadichromis	chrysonotus	NA	NA	NA
CopAnsF17350490	Copadichromis	chrysonotus	NA	NA	NA
CopAnsF17350489	Copadichromis	chrysonotus	NA	NA	NA
CopAnsF17350491	Copadichromis	chrysonotus	NA	NA	NA
CopAnsF17350488	Copadichromis	chrysonotus	NA	NA	NA
CopAnsF17350484	Copadichromis	chrysonotus	NA	NA	NA
CopAnsF17350483	Copadichromis	chrysonotus	NA	NA	NA
CopAnsF17350485	Copadichromis	chrysonotus	NA	NA	NA
CopAnsF17350480	Copadichromis	chrysonotus	NA	NA	NA
CopAnsF17350482	Copadichromis	chrysonotus	NA	NA	NA
CopAnsF17350481	Copadichromis	chrysonotus	NA	NA	NA
CopAnsF17350458	Copadichromis	virginalis	NA	NA	NA
ILBCDS5879579	Dimidiochromis	strigatus	M	Salima	NA
ILBCDS5879907	Astatotilapia	calliptera	NA	Lake_Chidya	NA
ILBCDS5879555	Cynotilapia	afra	NA	Nkhata_Bay	NA
ILBCDS5879559	Cynotilapia	axelrodi	NA	Nkhata_Bay	NA
ILBCDS5879565	Fossorochromis	rostratus	NA	Chiofu	NA
ILBCDS5879570	Fossorochromis	rostratus	NA	Chiofu	NA
CopAnsF17350461	Copadichromis	virginalis	NA	NA	NA
ILBCDS5879964	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879965	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879966	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879967	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879842	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879843	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879951	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879952	Astatotilapia	calliptera	NA	Lake_Itamba	NA
CopAnsF17350467	Copadichromis	virginalis	NA	NA	NA
ILBCDS5421973	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5421974	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5421996	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5421979	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5421997	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5421984	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879931	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879932	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879933	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879934	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879935	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879880	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879881	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879882	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879883	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879884	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879885	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879886	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879887	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879888	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879889	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879913	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879914	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879915	Astatotilapia	calliptera	NA	Lake_Masoko	NA
CopAnsF17350456	Copadichromis	virginalis	NA	NA	NA
ILBCDS5879552	Chilotilapia	rhoadesii	NA	Southeast_arm	Mangochi
CopAnsF17350463	Copadichromis	virginalis	NA	NA	NA
ILBCDS5879553	Dimidiochromis	compressiceps	NA	Southeast_arm	Mangochi
ILBCDS5879953	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879954	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879955	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879957	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879958	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879550	Aulonocara	"blue Chilumba"	M	Chilumba	NA
ILBCDS5879912	Astatotilapia	calliptera	NA	Bua_river	NA
ILBCDS5879947	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879948	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879949	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879950	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879960	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879961	Astatotilapia	calliptera	NA	Lake_Itamba	NA
ILBCDS5879844	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879845	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879846	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879847	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879870	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879871	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879872	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879873	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879874	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879848	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879849	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879850	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879851	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879852	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879853	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879854	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879855	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879856	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879857	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879858	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879859	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879860	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879861	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879862	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879863	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5421975	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5421978	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5421976	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5421977	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5421971	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5421970	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879875	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879876	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879877	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879878	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879879	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879916	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879917	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879918	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879864	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879865	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879866	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879867	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879868	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879869	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879919	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879920	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879921	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879922	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879923	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879806	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879807	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879808	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879809	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879810	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879924	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879925	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879926	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879927	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879928	Astatotilapia	calliptera	NA	Lake_Masoko	NA
ILBCDS5879811	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879812	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879813	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879815	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879816	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879817	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879818	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879819	Astatotilapia	calliptera	M	Lake_Masoko	NA
ILBCDS5879820	Astatotilapia	calliptera	M	Lake_Masoko	NA
