sample_ID	provider_ID	genus	species	clade	location	sublocation	sex	gsdf_copies	chr19_ins_GT	chr19_ins_AC	chr7_ins_GT	chr7_ins_AC	avg_seq_depth	cram
ILBCDS5879912	288A	Astatotilapia	calliptera	AstCal	Bua river	NA	M	2	0/1	6,16	0/0	16,0	23.36	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879912/fAstCal1.2/ILBCDS5879912.mem.crumble.cram
ILBCDS5879902	CHIT1	Astatotilapia	calliptera	AstCal	Chitimba	NA	NA	2	0/0	21,0	0/0	12,0	16.37	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879902/fAstCal1.2/ILBCDS5879902.mem.crumble.cram
ILBCDS5438969	ACCHIS	Astatotilapia	calliptera	AstCal	Chizumulu island	NA	M	3	0/0	10,0	0/0	14,0	15.03	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5438969/fAstCal1.2/ILBCDS5438969.mem.crumble.cram
ILBCDS5879906	ENUK1	Astatotilapia	calliptera	AstCal	Enukweni	NA	NA	2	0/1	3,22	0/0	11,0	18.97	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879906/fAstCal1.2/ILBCDS5879906.mem.crumble.cram
ILBCDS6101034	G7A02	Astatotilapia	calliptera	AstCal	Itupi river	Lower Itupi	M	3	0/0	10,0	0/0	31,0	14.12	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101034/fAstCal1.2/ILBCDS6101034.mem.crumble.cram
ILBCDS6101035	G7A03	Astatotilapia	calliptera	AstCal	Itupi river	Lower Itupi	M	3	0/0	21,0	0/0	33,0	15.66	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101035/fAstCal1.2/ILBCDS6101035.mem.crumble.cram
ILBCDS6101036	G7E04	Astatotilapia	calliptera	AstCal	Itupi river	Lower Itupi	M	3	0/0	15,0	0/0	39,0	15.75	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101036/fAstCal1.2/ILBCDS6101036.mem.crumble.cram
ILBCDS6101037	G7E08	Astatotilapia	calliptera	AstCal	Itupi river	Upper Itupi	NA	3	0/0	19,0	0/0	34,0	14.9	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101037/fAstCal1.2/ILBCDS6101037.mem.crumble.cram
ILBCDS5879908	160	Astatotilapia	calliptera	AstCal	Kitai Dam	NA	M	2	0/0	14,0	0/0	12,0	20.2	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879908/fAstCal1.2/ILBCDS5879908.mem.crumble.cram
ILBCDS5879910	42A	Astatotilapia	calliptera	AstCal	Kyela	NA	NA	2	1/1	0,17	0/0	10,0	22.53	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879910/fAstCal1.2/ILBCDS5879910.mem.crumble.cram
