primary_id	genus	species	sex	location	sublocation	clade
ILBCDS5879572	Hemitilapia	oxyrhynchus	M	Southeast_arm	Mangochi	Benthic
ILBCDS5421990	Lethrinops	lethrinus	M	Southeast_arm	Mangochi	Deep
ILBCDS6101008	Dimidiochromis	kiwinge	NA	Metangula	NA	Benthic
ILBCDS6101006	Taeniochromis	holotaenia	NA	Metangula	NA	Benthic
ILBCDS6101002	Rhamphochromis	longiceps	NA	Metangula	NA	Rhampho
ILBCDS6101017	Copadichromis	likomae	NA	Metangula	NA	Utaka
ILBCDS5421986	Alticorpus	macrocleithrum	M	Southeast_arm	NA	Deep
ILBCDS6101023	Taeniolethrinops	furcicauda	NA	Metangula	NA	Deep
ILBCDS5879578	Diplotaxodon	greenwoodi	NA	NA	NA	Diplo
ILBCDS6101010	Taeniolethrinops	praeorbitalis	NA	Southeast_arm	Mangochi	Deep
ILBCDS6101027	Dimidiochromis	strigatus	NA	Southeast_arm	Mangochi	Benthic
ILBCDS6101015	Hemitilapia	oxyrhynchus	NA	Southeast_arm	Mangochi	Benthic
ILBCDS6101004	Tyrannochromis	nigriventer	NA	Minos_reef	NA	Benthic
ILBCDS6101007	Taeniolethrinops	macrorhynchus	NA	Chiwanga	NA	Deep
ILBCDS5421999	Otopharynx	tetrastigma	M	Lake_Ilamba	NA	Benthic
ILBCDS6101003	Stigmatochromis	macrorhynchos	NA	Cape_Maclear	NA	Benthic
ILBCDS6101014	Stigmatochromis	modestus	NA	Cape_Maclear	NA	Benthic
ILBCDS6101012	Mylochromis	ericotaenia	NA	Cape_Maclear	NA	Benthic
ILBCDS6101031	Otopharynx	lithobates	NA	Cape_Maclear	NA	Benthic
ILBCDS6101026	Ctenopharynx	nitidus	NA	Cape_Maclear	NA	Benthic
ILBCDS5879908	Astatotilapia	calliptera	NA	Kitai_Dam	NA	AstCal
ILBCDS6101030	Dimidiochromis	dimidiatus	NA	Cape_Maclear	NA	Benthic
ILBCDS5879564	Genyochromis	mento	F	Chiofu	NA	Mbuna
ILBCDS5879569	Labeotropheus	trewavasae	F	Chiofu	NA	Mbuna
ILBCDS6101009	Protomelas	spilopterus	NA	Lower_Shire_river	Liwonde	Benthic
ILBCDS5879568	Iodotropheus	sprengerae	NA	Chiofu	NA	Mbuna
ILBCDS5879929	Astatotilapia	calliptera	NA	Lake_Masoko	NA	AstCal
ILBCDS5879909	Astatotilapia	calliptera	NA	Rovuma_river	NA	AstCal
ILBCDS5421972	Otopharynx	brooksi nkhata	M	Nkhata_Bay	NA	Benthic
ILBCDS5879930	Astatotilapia	calliptera	NA	Lake_Masoko	NA	AstCal
ILBCDS6101029	Diplotaxodon	ngulube	NA	Nkhata_Bay	NA	Diplo
ILBCDS5879567	Protomelas	spilopterus	M	Southeast_arm	Mangochi	Benthic
