Abactochromis labrosus
Alticorpus geoffreyi
Alticorpus macrocleithrum
Alticorpus mentale
Alticorpus peterdaviesi
Aristochromis christyi
Astatotilapia calliptera
Aulonocara "black chin orange"
Aulonocara "blue Chilumba"
Aulonocara "blue orange"
Aulonocara "brevirostrus yellow"
Aulonocara c.f. ethelwynnae
Aulonocara c.f. macrochir
Aulonocara "copper"
Aulonocara "deep"
Aulonocara "gold"
Aulonocara "large slender"
Aulonocara "minutus"
Aulonocara rostratum
Aulonocara saulosi
Aulonocara "slender orange back"
Aulonocara sp.
Aulonocara stonemani
Aulonocara stuartgranti
Aulonocara "yellow"
Buccochromis heterotaenia
Buccochromis lepturus
Buccochromis nototaenia
Buccochromis rhoadesii
Champsochromis caeruleus
Champsochromis c.f. spilorhynchus
Cheilochromis euchilus
Chilotilapia rhoadesii
Chindongo elongatus
Chindongo minutus
Copadichromis borleyi
Copadichromis chrysonotus
Copadichromis ilesi
Copadichromis jacksoni
Copadichromis "kawanga"
Copadichromis likomae
Copadichromis mloto
Copadichromis "orange and no spot"
Copadichromis quadrimaculatus
Copadichromis trimaculatus
Copadichromis verduyni
Copadichromis virginalis
Corematodus taeniatus
Ctenopharynx intermedius
Ctenopharynx nitidus
Ctenopharynx pictus
Cyathochromis obliquidens
Cynotilapia afra
Cynotilapia aurifrons
Cynotilapia axelrodi
Cyrtocara moorii
Dimidiochromis compressiceps
Dimidiochromis dimidiatus
Dimidiochromis kiwinge
Dimidiochromis strigatus
Diplotaxodon apogon
Diplotaxodon argenteus
Diplotaxodon "big eye"
Diplotaxodon c.f. argenteus
Diplotaxodon c.f. ecclesi
Diplotaxodon ecclesi
Diplotaxodon greenwoodi
Diplotaxodon "holochromis"
Diplotaxodon limnothrissa
Diplotaxodon "limnothrissa black pelvic"
Diplotaxodon macrops
Diplotaxodon "macrops black dorsal"
Diplotaxodon "ngulube"
Diplotaxodon "offshore"
Diplotaxodon "similis"
Diplotaxodon "similis large"
Diplotaxodon "similis white back"
Fossorochromis rostratus
Genyochromis mento
Gephyrochromis lawsi
Gephyrochromis "zebroides"
Hemitaeniochromis "deep"
Hemitaeniochromis sp.
Hemitaeniochromis urotaenia
Hemitilapia oxyrhynchus
Iodotropheus sprengerae
Labeotropheus fuelleborni
Labeotropheus trewavasae
Labidochromis caeruleus
Labidochromis c.f. vellicans
Labidochromis sp.
Labidochromis "zebra eastern"
Lethrinops albus
Lethrinops "albus deep water"
Lethrinops "albus green head"
Lethrinops "albus red head"
Lethrinops auritus
Lethrinops "blue nose"
Lethrinops "dark"
Lethrinops furcifer
Lethrinops gossei
Lethrinops lethrinus
Lethrinops longimanus
Lethrinops longipinnis
Lethrinops "longipinnis blue head"
Lethrinops "oliveri"
Lethrinops parvidens
Lethrinops "six bar"
Lethrinops sp.
Lethrinops "yellow head"
Maylandia aurora
Maylandia callainos
Maylandia emmiltos
Maylandia estherae
Maylandia fainzilberi
Maylandia "lanisticola north"
Maylandia "pearly"
Maylandia zebra
Maylandia "zebra gold"
Mchenga "black yellow"
Mchenga "chirombo 1"
Mchenga "chirombo 2"
Mchenga "chirombo 3"
Mchenga sp.
Melanochromis auratus
Melanochromis baliodigma
Melanochromis dialeptos
Melanochromis loriae
Melanochromis robustus
Melanochromis simulans
Mylochromis anaphyrmus
Mylochromis c.f. guentheri
Mylochromis c.f. mollis
Mylochromis c.f. subocularis
Mylochromis chekopae
Mylochromis ensatus
Mylochromis epichoralis
Mylochromis ericotaenia
Mylochromis labidodon
Mylochromis melanonotus
Mylochromis spilostichus
Mylochromis subocularis
Naveochromis chrysogaster
Nimbochromis linni
Nimbochromis livingstonii
Nimbochromis polystigma
Nimbochromis venustus
Otopharynx argyrosoma
Otopharynx auromarginatus
Otopharynx brooksi
Otopharynx "brooksi nkhata"
Otopharynx c.f. "decorus"
Otopharynx decorus
Otopharynx "decorus double spot"
Otopharynx "deep"
Otopharynx "heterodon Nanthumba"
Otopharynx lithobates
Otopharynx selenurus
Otopharynx speciosus
Otopharynx tetrastigma
Pallidochromis tokolosh
Petrotilapia "black flanks"
Petrotilapia c.f. tridentiger
Petrotilapia genalutea
Petrotilapia microgalana
Petrotilapia nigra
Petrotilapia "ruare"
Petrotilapia sp.
Placidochromis "blue snout white lappets"
Placidochromis electra
Placidochromis "flat jaw"
Placidochromis "flat jaw green snout"
Placidochromis hennydaviesae
Placidochromis johnstoni
Placidochromis "long"
Placidochromis longimanus
Placidochromis longus
Placidochromis milomo
Placidochromis platyrhynchos
Placidochromis polli
Placidochromis "yellow bar black chin"
Protomelas annectens
Protomelas c.f. fenestratus
Protomelas c.f. similis
Protomelas c.f. triaenodon
Protomelas fenestratus
Protomelas insignis
Protomelas kirkii
Protomelas labridens
Protomelas ornatus
Protomelas similis
Protomelas sp.
Protomelas spilopterus
Protomelas taeniolatus
Protomelas triaenodon
Pseudotropheus "acei"
Pseudotropheus crabro
Pseudotropheus elegans
Pseudotropheus fuscus
Pseudotropheus interruptus
Pseudotropheus johannii
Pseudotropheus lanisticola
Pseudotropheus livingstonii
Pseudotropheus lucerna
Pseudotropheus sp.
Rhamphochromis "Chilingali"
Rhamphochromis esox
Rhamphochromis ferox
Rhamphochromis "grey"
Rhamphochromis "Kingiri brevis"
Rhamphochromis "Kingiri dwarf"
Rhamphochromis "long fin"
Rhamphochromis longiceps
Rhamphochromis "long snout"
Rhamphochromis "maldeco"
Rhamphochromis "orange chest"
Rhamphochromis sp.
Rhamphochromis woodi
Sciaenochromis benthicola
Sciaenochromis c.f. benthicola
Sciaenochromis c.f. fryeri
Sciaenochromis "nyassae"
Sciaenochromis "sand"
Sciaenochromis sp.
Stigmatochromis c.f. woodi
Stigmatochromis macrorhynchos
Stigmatochromis modestus
Stigmatochromis pholidophorus
Stigmatochromis sp.
Stigmatochromis woodi
Taeniochromis holotaenia
Taeniolethrinops furcicauda
Taeniolethrinops "furcicauda yellow"
Taeniolethrinops "furcifer yellow"
Taeniolethrinops laticeps
Taeniolethrinops macrorhynchus
Taeniolethrinops praeorbitalis
Taeniolethrinops sp.
Tramitichromis brevis
Tramitichromis "east coast short"
Tramitichromis intermedius
Tramitichromis "red throat"
Tramitichromis "shallow eastern"
Tramitichromis sp.
Trematocranus placodon
Tropheops "band"
Tropheops "black"
Tropheops c.f. "gold otter"
Tropheops c.f. "orange head"
Tropheops c.f. "yellow gular"
Tropheops "chilumba"
Tropheops "chiofu"
Tropheops "chiofu 3"
Tropheops "chiofu yellow"
Tropheops "deep gold"
