contig  VCF_sites  variants   SNPs       insertions  deletions  SNP_sites  biallelic_SNP_sites  widel_SNP_sites  widel_biallelic_SNP_sites  ancestral_annotations  LowDP     HighDP   masked_genotypes
chr1    8471937    9830867    7839969    822881      1168017    7294760    6766799              1613872          1471471                    6852299                1060811   140674   16754274
chr2    7840128    9071876    7269477    739119      1063280    6760158    6267047              1494096          1362351                    6132983                1258687   131921   14979604
chr3    10409790   12139033   9668550    1064169     1406314    8937156    8233275              2004711          1809552                    6654784                3661138   445488   27137463
chr4    6924388    8057639    6429392    672984      955263     5963943    5513838              1330389          1208576                    5437375                1220257   150374   14730543
chr5    8202738    9532905    7599286    798421      1135198    7058113    6534490              1599919          1456644                    6601193                1095399   150100   16660537
chr6    8642062    10055191   8000057    851854      1203280    7431278    6881005              1686303          1536057                    6823844                1290527   188360   18004876
chr7    13857234   16101647   12810231   1362157     1929259    11912510   11043803             2660043          2423435                    11070060               1904654   268758   28292157
chr8    5707233    6641816    5324918    532576      784322     4927027    4542677              1162833          1055327                    4708716                687064    110315   10957996
chr9    7655325    8883580    7148260    708651      1026669    6618850    6107019              1532014          1391018                    5655836                1496069   223578   15015746
chr10   6846062    7957107    6344174    664063      948870     5890339    5451352              1338597          1218350                    5536694                978482    110039   13695203
chr11   7164145    8302241    6615698    704377      982166     6163713    5726052              1319089          1204553                    5895879                944473    154863   14456799
chr12   8020648    9344993    7437582    794668      1112743    6900585    6381616              1543132          1400086                    6535680                1071557   255198   17694143
chr13   6714750    7769473    6200621    645641      923211     5778034    5368821              1242365          1135616                    5509263                819147    171383   13194686
chr14   8066539    9365357    7490521    766734      1108102    6953030    6433033              1581081          1438643                    6393292                1062124   202692   15632528
chr15   8362005    9689777    7762410    795695      1131672    7214400    6683857              1610718          1468372                    6663209                1040829   197099   16261742
chr16   7488084    8696246    6951532    717941      1026773    6451752    5968124              1466289          1334679                    5991523                1092989   181347   15053249
chr17   8361088    9721342    7748469    815327      1157546    7194087    6657703              1645833          1498795                    6713231                1082877   151233   16531979
chr18   7517168    8748980    6988151    731625      1029204    6477898    5985848              1442876          1308740                    5903894                1145249   246345   16239680
chr19   6570855    7657468    6125790    628874      902804     5667892    5226042              1301393          1179542                    5281542                953331    158748   13139015
chr20   6392095    7419102    5923890    616292      878920     5507175    5104543              1223338          1113729                    5102325                891461    184327   12587189
chr22   7395989    8649933    6882875    731382      1035676    6364231    5864213              1510084          1366058                    5746612                1110800   254526   15876233
chr23   8978821    10393089   8347308    840796      1204985    7754272    7181421              1704925          1550712                    6889939                1476249   309312   18143985
genome  175589084  204029662  162909161  17006227    24114274   151221203  139922578            34013900         30932306                   138100173              27344174  4386680  361039627
